Name,"3 potential customers in US ",Address,City,Cohort,Company Analysis,Company key,Country,Description,Duplicated,Elevator Pitch,Founder,Founding Year,Funding objective,Funding raised (euros),Industry,Last edited time,LinkedIn Profile,Linkedin Page,Logo,One Pager (pdf),P. IVA,Participants,Participants' City,Phase,Pitch Deck,Pitch Deck URL,Plan to raise capital in the US?,Program,Province,Region,"Relevant Info ",Rollup,Rollup 1,Team Size,Topic Group,Total Funding,Website,ZIP Code
QuestIT,,VIA LEONIDA CIALFI 23,SIENA,C1 - AI / Metaverse / Culture & Creativity,,questit,,"QuestIT is an Italian company that develops proprietary artificial intelligence solutions. Particularly, since 2018, we have developed Algho, an AI conversational platform that generates intelligent Digital Humans. We have some customers in Italy and in rest part of Europe in 12 industries like: bank, energy, public administration, e-commerce, travel, software house. Our customer are, for example: Banca Sella, Old Wilde West, PubliAcque, 30th municipalities, ENI, Gaia S.p.A and so on.",No,,,2007,,,Generative AI,"October 23, 2024 10:23 PM",,,,,01214250522,,,1,,,,Startup Acceleration,SI,Tuscany,,,,,,,https://www.quest-it.com,53100
Cyberneid,,VIA CROCE ROSSA 21,NAPOLI,C5 - Generative AI,,cyberneid,,"Cyberneid is a startup specializing in artificial intelligence, electronic identity, and blockchain.Cyberneid supplies services and solutions for:- electronic identity cards and passports;- virtual electronic identities- digital signature and certification of documents- identity-proofing reinforced with Deep Learning;- eKYC optimized with Machine Learning- secure onboarding and strong authentication;- eid wallet on the blockchain",No,,,2019,,,Generative AI,"October 23, 2024 9:42 PM",,,,,09319631215,,,1,,,,Startup Acceleration,NA,Campania,,,,,,,https://www.cyberneid.com,80131
Aida,,VIA PORLEZZA 16,MILANO,C5 - Generative AI,,aida,,"AidaMask has developed a NLP model specialized in identifying and masking sensitive data, ensuring the protection of confidential information in Generative AI conversations with third-party models. This service is particularly beneficial for businesses and organizations seeking to harness the advantages of the best AI models while maintaining stringent data security, in compliance with regulations like GDPR. Our MVP is being tested with first Corporates (+€10k commitments) with SaaS pricing.",Yes,,,2023,,,Generative AI,"February 20, 2026 8:33 PM",,,,,11064040964,,,1,,,,Startup Acceleration,MI,Lombardy,,,,,,,https://aidamask.com/,20123
Nimbo Jobs,,VIA GUGLIELMO MARCONI 29,GROPPARELLO,C5 - Generative AI,,nimbojobs,,"Nimbo.ai is a platform that connects people and gig-workers. We aim to solve the challenge of finding the right talent for small every-day jobs. We offer a simple and intuitive chat interface, distinguished by our smart matching algorithm and LLM that recommends the best candidates for each job. Our revenue comes from charging employers a fee for each successful job. Currently, we have over +1000 registered users and more than 120 active job postings.",No,,,2020,,,Generative AI,"October 23, 2024 10:19 PM",,,,,01806350334,,,1,,,,Startup Acceleration,PC,Emilia-Romagna,,,,,,,https://nimbo.ai,29025
Netix,,VIA MADONNETTA 215,MONTECCHIO MAGGIORE,C5 - Generative AI,,netix,,"netiXverso is a decision Intelligence platform, integrated with an AI Model specially trained, to search and analyze reputational information referred to Target counterparties. We prevent companies from the beginning of relationships  with counterparties with high reputational risk:  suppliers, partners etc. We offer our platform with SaaS contract. Target companies are all those eligible for CSRD EU Directive, as it is a strong safeguard for business ethics. POCs done, ready for the market.",No,,,2023,,,Generative AI,"October 23, 2024 10:17 PM",,,,,03939110247,,,1,,,,Startup Acceleration," VI",Latium,,,,,,,https://www.netixverso.com,36075
Audacia Innovations,,,,C5 - Generative AI,,audaciainnovations,,"We are a start up operating in the music industry. We provide all artists and their record labels of all sizes with innovative tools for sustainable careers and monetization. We sold our first beta service in May 2022 and have already gained significant traction: after subscribing to our services, the client (an artist or a record label)receives access to our proprietary platform,thus entering a personal account where we provide insights,strategic growth advices and if requested, also content.",No,,,2021,,,Generative AI,"March 18, 2026 6:26 PM",,,,,02062520891,,,1,,,,Startup Acceleration,,Sicily,,,,,,,https://www.audaciainnovations.com/,
Restworld,,CORSO CASTELFIDARDO 30/A,TORINO,C5 - Generative AI,,restworld,,"Restworld is an innovative HR tech startup that specializes in efficient staff recruitment and management solutions, with a focus on the Horeca (Hospitality, Restaurant, and Catering) sector. Our platform is designed to empower businesses in the hospitality industry to optimize their staffing processes, reduce costs, and improve team-building.",No,,,2020,,,Generative AI,"October 23, 2024 10:25 PM",,,,,12270120012,,,1,,,,Startup Acceleration,TO,Piedmont,,,,,,,https://restworld.it,10128
Innovatech,,"Via Umbria, 7",Roma,C5 - Generative AI,,innovatech,,"INNOVATECH è la società di IGI Investimenti Group specializzata nell’acquisizione di partecipazioni di minoranza in start up e PMI innovative  italiane costituite ai sensi del Dlgs 221/2012 ed iscritte nella sezione speciale del registro delle imprese. La società è proprietaria di software di AI che, con un sistema ad analisi multivariata, sono in grado di misurare il valore delle aziende su parametri inerziali.",No,,,2021,,,Generative AI,"October 23, 2024 10:01 PM",,,,,16163091008,,,1,,,,Startup Acceleration,RM,Latium,,,,,,,https://www.innovatechpartecipazioni.com,00187
Dermaself,,VIA VALASSINA 29,MILANO,C5 - Generative AI,,dermaself,,"Dermaself is an online dermatology service that provides easy and affordable personalised skincare thanks to AI technology. We aim to bridge the gap in the Dermatology market for young people affected by acne. We offer acne skincare products, distinguished by personalisation. Our revenue comes from B2C subscriptions. Currently, we have 1.300 registered users.",No,,,2023,,,Generative AI,"October 23, 2024 9:43 PM",,,,,10236321211,,,1,,,,Startup Acceleration,MI,Lombardy,,,,,,,https://www.dermaself.it/,20159
Mine Crime,,VIA PALESTRO 7,ANCONA,C5 - Generative AI,,minecrime,,"Mine Crime is specialized in collecting, cleaning and analyzing geocoded data on crime and urban decay. Our technology heavily relies upon AI/ML and it processes +16k data-sources internationally. Afterwards, our integrated math-model “RTM”, works the crime-data, hold in a proprietary database with +35Mln events, into multi-composite predictive risk indicators that we share with our clients, medium-big corporate, through our platform in order to support their risk management activities.",No,,,2021,,,Generative AI,"October 23, 2024 10:14 PM",,,,,11493730961,,,1,,,,Startup Acceleration,AN,The Marches,,,,,,,https://www.minecrime.it/,60122
IIO,,VIA PAOLO DA CANNOBIO 2,MILANO,C5 - Generative AI,,iio,,"IIO is a Voice Interaction AI platform delivering a Real Human Operator experience by recognizing in real time the customer's emotions and self-adapting to any context. The first suite of enterprise solutions that creates intelligent virtual assistants on corporate knowledge bases using generative AI in conversational form.We aim to transform the way people interact with technology providing a personalized, intuitive and empathetic customer experience. Our revenues comes from SaaS B2B(2C) model",No,,,2022,,,Generative AI,"October 23, 2024 10:01 PM",,,,,12289670965,,,1,,,,Startup Acceleration,MI,Lombardy,,,,,,,https://iio.ai/,20122
menumal.it,,"VIA CASE
  ROSSE 231",SERAVEZZA,C5 - Generative AI,,menumal.it,,"Menumal is a post-pandemic, hyper-scalable saas-menu with deep customisation and high integration. 90 active restaurants and 8500€ turnover in the first month with local bathing establishments. To date, Menumal has superseded all major digital menu competitors, despite an activation cost of 300/400€ that no one else applies, on the strength of a graphical interface generated in very few minutes thanks to AGI and a super-lean sales model called 'demo-driven'.",No,,,2023,,,Generative AI,"October 23, 2024 10:10 PM",,,,,02664270465,,,1,,,,Startup Acceleration,LU,Tuscany,,,,,,,https://menumal.it,55047
Athics,,VIA MEUCCIO RUINI 10,REGGIO NELL'EMILIA,C5 - Generative AI,,athics,,"Athics is an Italian cognitive science company, founded in 2018 and based in Milan, specialized in Conversational AI and psychometric profiling.We operate on the local and International market to ""make innovation accessible to everyone, with our solutions: Crafter.ai, a SaaS Conversational AI platform to create AI chatbots, and PortrAIt, a real-time psychometric profiling technology, that is able to detect users' main psychometric traits, to choose the next best action to take.",No,,,2018,,,Generative AI,"October 23, 2024 10:38 PM",,,,,02804960355,,,1,,,,Startup Acceleration,RE,Emilia-Romagna,,,,,,,https://www.athics.ai,42124
Rubyno.Studio,,VIA MORIMONDO 26,MILANO,C5 - Generative AI,,rubyno.studio,,AI powered SaaS that allows beginners with a low budget to get guaranteed visibility on all the main digital channels.,No,,"Aris Giavelli,Ciro Ottieri",2016,Bootstrapped,,Generative AI,"March 5, 2025 6:05 PM",,,,DB%20Companies/One_Pager_3V_Agency.pdf,09650970966,"Aris Giavelli (https://www.notion.so/Aris-Giavelli-d077ad99a2ba4b86bc0c6a8c57f64b77?pvs=21), Ciro Ottieri (https://www.notion.so/Ciro-Ottieri-139c00c918b24ef29ec7cec051af5245?pvs=21)",Milano,2-SF,,,,SMEs Traction,MI,Lombardy,,"Aris Giavelli,Ciro Ottieri",,7,,,https://www.rubyno.com/,20143
Aries Tech - Cathedra,,VIA MARIANI POMPEO 4,MILANO,C5 - Generative AI,,ariestech-cathedra,,"Aries Tech crafts custom software solutions, including AI, blockchain, and video game innovations, with a unique generative AI for personalized game level design.",No,,"Andrea Minotti,Luca Vajani",2014,Bootstrapped,,Generative AI,"October 23, 2024 9:17 PM",,,,DB%20Companies/Cathedra_SRL_One_Pager.pdf,08729660962,"Andrea Minotti (https://www.notion.so/Andrea-Minotti-79754b9768c945618279fbfc9698f88b?pvs=21), Luca Vajani (https://www.notion.so/Luca-Vajani-590e1a34f7eb48e6843da93719ff6aa7?pvs=21)",,2-SF,,,,SMEs Traction,MI,Lombardy,,"Andrea Minotti,Luca Vajani",,,,,https://www.ariestech.it,20128
Athlos,,VIA ZAGABRIA 53,CAGLIARI,C5 - Generative AI,,athlos,,"Athlos s.r.l. è una Software Company che sviluppa soluzioni software innovative e progetti basati su interazione uomo-macchina, intelligenza artificiale e Machine Learning nei seguenti ambiti: Digital Assistant, Natural Language Processing, Intelligent Data Processing, Computer Vision, Big data. Attraverso le più moderne tecnologie consentiamo a Pubbliche Amministrazioni e aziende sanitarie di rimanere al passo con i cambiamenti tecnologici  e aumentare efficienza e produttività.",No,,,2008,,,Generative AI,"October 23, 2024 9:33 PM",,,,,03144260928,,,2-No SF,,,,SMEs Traction,CA,Sardinia,,,,,,,https://www.athlos.biz,09129
Babelscape,,VIA CAVOUR 256,ROMA,C5 - Generative AI,,babelscape,,"Babelscape: A research university spinoff. We bring to market state-of-the-art solutions, derived from our focus on multilingual text analytics and semantic knowledge graphs.  We scale language technologies across global language markets, via SaaS products for entity extraction, and sentiment analysis. We also sell custom software development services derived from our knowledge graph.  Our clients include multi-national fortune 500 companies, academic platforms, and large government entities.",No,,,2016,,,Generative AI,"October 23, 2024 9:33 PM",,,,,13792231006,,,2-No SF,,,,SMEs Traction,RM,Latium,,,,,,,https://babelscape.com/,00184
BdSound,,VIA MOLINO 20/A,TORREVECCHIA PIA,C5 - Generative AI,,bdsound,,"BdSound specializes in cutting-edge speech and audio processing technology, enabling millions of devices worldwide to enhance voice-centric features.",No,,"Antonio Grosso,Fabio Cagnetti",2006,Between 500k and 1M,,Generative AI,"October 23, 2024 9:22 PM",,,,DB%20Companies/One_Pager_Bd_Sound.pdf,02177500184,"Antonio Grosso (https://www.notion.so/Antonio-Grosso-92a081937d18483daa8933a8f17038ab?pvs=21), Fabio Cagnetti (https://www.notion.so/Fabio-Cagnetti-c8764c31e7a84870b2ba1b6073bd9ddc?pvs=21)",,2-SF,,,,SMEs Traction,PV,Lombardy,,"Antonio Grosso,Fabio Cagnetti",,,,,https://www.bdsound.com,27010
BitBang,,VIA ENRICO MATTEI 102,BOLOGNA,C5 - Generative AI,,bitbang,,"Composable Gen AI platform powered by synthetic data that simplifies forecasts, identifies causality and reliable scenarios, and automates marketing budget allocation.",No,,"Gaspare Riccobene,Andrea De Marco",2003,Between 1M and 5M,,Generative AI,"October 23, 2024 9:23 PM",,,,DB%20Companies/One_Pager_BitBang.pdf,02329121202,"Gaspare Riccobene (https://www.notion.so/Gaspare-Riccobene-ca40f17e3a8546468f89de834637de42?pvs=21), Andrea De Marco (https://www.notion.so/Andrea-De-Marco-83ffeeb4310843a0a2c91d29ae1e1068?pvs=21)",,2-SF,,,,SMEs Traction,BO,Emilia-Romagna,,"Gaspare Riccobene,Andrea De Marco","https://www.linkedin.com/in/gaspare-riccobene/,https://www.linkedin.com/in/andreademarco",,,,https://bitbang.com/,40138
Business Changers,,"PIAZZA
  CAMILLO FINOCCHIARO APRILE 3",ROMA,C5 - Generative AI,,businesschangers,,"Business Changers enables firms to leverage technological innovation, blending AI, Web3, and blockchain into IT services and products.",No,,Pasquale Sorgentone,2012,Bootstrapped,,Generative AI,"October 23, 2024 9:39 PM",,,,DB%20Companies/Business_Changers_One_Pager.pdf,11997141004,Pasquale Sorgentone (https://www.notion.so/Pasquale-Sorgentone-c4ed0e2752684742b9acc5a6f766dbee?pvs=21),,2-SF,,,,SMEs Traction,RM,Latium,,Pasquale Sorgentone,https://www.linkedin.com/in/sorgentone/,,,,https://business-changers.it/en/,00181
CLOUD PATHOLOGY GROUP,,VIA LANZONE N 04,MILANO,C5 - Generative AI,,cloudpathologygroup,,"CPG is a SME company that provides an integrated and flexible Digital Pathology solution to optimize operational process with Cloud Technology. We aim to improve accuracy and safety in cancer diagnosis supported by an innovative AI model developed through the application of Deep Learning procedures and Convolutional Neural Networks to pathological anatomy. We offer software and service in a SAAS mode. Revenue comes from long-term service contract. Unique, open and independent solution.",No,,,2012,,,Generative AI,"October 23, 2024 9:40 PM",,,,,07753790968,,,2-No SF,,,,SMEs Traction,MI,Lombardy,,,,,,,https://cloudpathology.eu,20123
CREACTIVES,,VIA E FERMI N 4,VERONA,C5 - Generative AI,,creactives,,"Our products: Procurement (Spend Analysis) and Supply Chain (Material Master Data Governance) based on our technology (Semantic NLP and AI Deep Learning) that is unique. For big corporations, we cleanse data in 25 languages and keep it clean for years with a SaaS business model. We have first class partners like KPMG and Accenture to sell and deliver the installation projects. We have 45 clients.",No,,,2000,,,Generative AI,"October 23, 2024 9:40 PM",,,,,03245350966,,,2-No SF,,,,SMEs Traction,VR,Veneto,,,,,,,https://WWW.CREACTIVES.COM,37135
Digitiamo,,VIA UGUAGLIANZA 9,VERGIATE,C5 - Generative AI,,digitiamo,,"Digitiamo accelerates enterprise AI adoption with a comprehensive process from training to AI operation, bridging the gap from zero to full AI integration.",No,,Mirko Puliafito,2020,Between 1M and 5M,,Generative AI,"October 23, 2024 9:43 PM",,,,DB%20Companies/One_Pager_Digitiamo.pdf,03760510127,Mirko Puliafito (https://www.notion.so/Mirko-Puliafito-8da7be9a3ed14eb7b1a3bc94a7d70746?pvs=21),,2-SF,,,,SMEs Traction,VA,Lombardy,,Mirko Puliafito,,,,,https://www.digitiamo.com/en,21029
Dilium,,VIA SELVANESCO 75,MILANO,C5 - Generative AI,,dilium,,"Dilium drives digital transformation in B2B and B2C with pioneering ICT and TIM solutions, including AI, blockchain, and AR/VR, tailored to client needs.",Yes,,Donato Angelo De Ieso,2017,Between 1M and 5M,,Generative AI,"February 20, 2026 8:35 PM",,,,DB%20Companies/One_Pager_Dilium.pdf,09868270969,Donato Angelo De Ieso (https://www.notion.so/Donato-Angelo-De-Ieso-0d1f43ab5d894d0588348a99322e2a1b?pvs=21),,2-SF,,,,SMEs Traction,MI,Lombardy,,Donato Angelo De Ieso,https://www.linkedin.com/in/donatodeieso/,,,,https://www.dilium.com/home.php,20141
E4 Computer Engineering,,VIA MARTIRI DELLA LIBERTA' 66,SCANDIANO,C5 - Generative AI,,e4computerengineering,,"E4 Computer Engineering leads in high-tech solutions for HPC, AI, and cloud services, partnering with top research centers for academic and industrial advancements.",No,,"Erion Islamay,Alessandro Lasagni",2002,Bootstrapped,,Generative AI,"March 18, 2026 6:26 PM",,,,DB%20Companies/E4_Computer_Engineering_One_Pager.pdf,02005300351,"Erion Islamay (https://www.notion.so/Erion-Islamay-587c56bfbdd94bd9b4810b51972eb4cc?pvs=21), Alessandro Lasagni (https://www.notion.so/Alessandro-Lasagni-3156b279a197491ab0dac208537e31bd?pvs=21)",,2-SF,,,,SMEs Traction,RE,Emilia-Romagna,,"Erion Islamay,Alessandro Lasagni","https://www.linkedin.com/in/erionis/,https://www.linkedin.com/in/alessandrolasagni",,,,https://www.e4company.com/en/,42019
Enuan,,VIA EUMELO 32,SIRACUSA,C5 - Generative AI,,enuan,,"Enuan is a Communications Platform that specializes in Conversational AI. We aim to solve automation challenges for Enterprises that provide customer support. We offer an omnichannel, hybrid virtual agent AI platform, distinguished by its versatile integration solutions and its efficient AI training and process development. Our revenue comes from time-based and transaction-based platform usage. Currently, we have several enterprise clients within the Italian and South American markets.",No,,,2006,,,Generative AI,"October 23, 2024 10:37 PM",,,,,02062520891,,,1,,,,SMEs Traction,SR,Lombardy,,,,,,,https://www.enuan.com/,96100
Expert.ai,,VIA FORTUNATO ZENI 8,ROVERETO,C5 - Generative AI,,expert.ai,,"expert.ai – the leading enterprise AI company committed to solving complex language challenges. Delivering over 300 natural language solutions historically, expert.ai revolutionizes language-intensive processes across various sectors. We expedite the deployment of natural language solutions through our innovative hybrid AI approach. By combining deep domain expertise with the finest attributes of Large Language Models, Machine Learning, and Symbolic AI, we are at the leading edge of AI sector",No,,,1999,,,Generative AI,"October 23, 2024 9:56 PM",,,,,02608970360,,,1,,,,SMEs Traction,TN,Emilia-Romagna,,,,,,,https://www.expert.ai,38068
flowtech,,VIA TIMAVO 34,MILANO,C5 - Generative AI,,flowtech,,"flowtech revolutionizes customer service with a patented AI model that offers real-time insights and automates processes, reducing time and costs for companies.",No,,Davide La Spina,2016,Between 500k and 1M,,Generative AI,"October 23, 2024 9:59 PM",,,,DB%20Companies/One_Pager_Flowtech.pdf,09174890963,Davide La Spina (https://www.notion.so/Davide-La-Spina-a509a6a3bf9c4b56b146efdc5ff44ad1?pvs=21),Milano,2-SF,,,,SMEs Traction,MI,Lombardy,,Davide La Spina,,,,,https://flowtech.ai,20124
INTELLISYNC,,VIA SCLAFANI 40/B,ACIREALE,C5 - Generative AI,,intellisync,,"Intellisync offers comprehensive cybersecurity services with dedicated Network & Security Operation Centers, safeguarding assets across sectors. The Seeding Experience, covering software development, data analytics, and industrial integration, ensures a robust defense, fostering agile business evolution in the digital landscape. Our revenues primarily come from these divisions, highlighting our commitment to innovative solutions. Market trust is evident through a growing worldwide clientele.",No,,,2017,,,Generative AI,"October 23, 2024 10:01 PM",,,,,05477830870,,,2-No SF,,,,SMEs Traction,CT,Sicily,,,,,,,https://www.intellisync.it/,95024
Interactive Media,,VIALE CITTA' D'EUROPA 679,ROMA,C5 - Generative AI,,interactivemedia,,"Interactive Media automates contact centers with ICT/AI, enhancing customer experience for medium and large companies through advanced technologies and SaaS solutions.",No,,"Debora Moura,Roberto Valente",1996,Between 500k and 1M,,Generative AI,"October 25, 2024 7:17 PM",,,,DB%20Companies/One_Pager_Interactive_Media.pdf,05057871005,"Debora Moura (https://www.notion.so/Debora-Moura-7fcf91521085403cb4d9eb25c4fb24dc?pvs=21), Roberto Valente (https://www.notion.so/Roberto-Valente-74f87d46ce0f4bdaa9b82f294115c626?pvs=21)",,2-SF,,,,SMEs Traction,RM,Latium,,"Debora Moura,Roberto Valente",,40,,"€500,000.00",https://imnet.com,00144
Krateo,,VIA ENRICO FERMI 11 ,VERONA,C5 - Generative AI,,krateo,,Krateo’s PlatformOps accelerates Cloud Native adoption for enterprises with an open-source automation platform leveraging standard Kubernetes APIs.,No,,Diego Braga,2023,Bootstrapped,,Generative AI,"October 23, 2024 10:36 PM",,,,DB%20Companies/One_Pager_Krateo.pdf,04980060232,Diego Braga (https://www.notion.so/Diego-Braga-47131af309d04ee8adbcfc6364b43f88?pvs=21),,2-SF,,,,SMEs Traction,VR,Veneto,,Diego Braga,,,,,https://krateo.io,37134
Macoev,,PIAZZA EUROPA 7 9 11,PRATO,C5 - Generative AI,,macoev,,"macoev is a solution provider that accompanies companies in every sector, everywhere in the world, in the implementation of Digital Transformation technologies, in the optimization of processes and in the design of digital experiences and solutions to land them on new levels of innovation. All this without ever losing sight of the human dimension, the true launching point for the authentic quality of our consultancy and our solutions.",No,,,2016,,,Generative AI,"October 23, 2024 10:06 PM",,,,,02369730979,,,1,,,,SMEs Traction,PO,Tuscany,,,,,,,https://macoev.com,59100
Nextbit,,"VIALE
  PAPINIANO 51",MILANO,C5 - Generative AI,,nextbit,,"Nextbit leverages its R&D to offer proprietary AI solutions and consultancy for complex data science challenges across finance, telco, and oil & gas sectors.",No,,,2006,Between 0 and 500k,,Generative AI,"October 23, 2024 10:18 PM",,,,DB%20Companies/One_Pager_Nextbit.pdf,01145050454,,,2-No SF,,,,SMEs Traction,MI,Lombardy,,,,,,,https://www.nextbit.it/,20123
Radicalbit,,VIA TORTONA 4,MILANO,C5 - Generative AI,,radicalbit,,"Radicalbit's MLOps platform streamlines AI model deployment and monitoring, emphasizing real-time metrics, low-code applications, and regulatory compliance.",No,,"Roberto Bentivoglio,Michele Ridi",2015,Between 1M and 5M,,Generative AI,"November 15, 2024 9:32 PM",,,,DB%20Companies/Radicalbit_One_Pager.pdf,09292580967,"Roberto Bentivoglio (https://www.notion.so/Roberto-Bentivoglio-5aeba3c0ae0b462eb89bbe8f639ed397?pvs=21), Michele Ridi (https://www.notion.so/Michele-Ridi-d5b724f4a5924e73b80dd6af4bb36991?pvs=21)",,2-SF,,,,SMEs Traction,MI,Lombardy,,"Roberto Bentivoglio,Michele Ridi",,14,,"€1,900,000.00",https://radicalbit.ai,20144
WordLift,,VIA GIULIA 117,ROMA,C5 - Generative AI,,wordlift,,"WordLift is a cutting-edge generative AI platform designed to elevate a business's revenue and audience engagement by automating SEO. Our primary goal is to synchronize websites with Google's language, ensuring optimal visibility and performance in the online realm.WordLift analyzes text, identifies concepts, and interlinks them to create a cohesive Knowledge Graph. Our revenue model is subscription-based for small and medium businesses and high-level professional services for enterprises.",No,,,2017,,,Generative AI,"October 23, 2024 10:34 PM",,,,,14111521002,,,2-No SF,,,,SMEs Traction,RM,Latium,,,,,,,https://wordlift.io/,00186
XCALLY,,VIA I MAGGIO N 13,PADERNO DUGNANO,C5 - Generative AI,,xcally,,"XCALLY is innovative software company specializing in AI-Driven omnichannel contact center solutions. Our solutions are designed for diverse industries, focusing on AI-driven customer care to streamline operations and enrich user experiences. Our unique approach combines comprehensive functionality with user-friendly design, ensuring a smooth customer journey across all communication touchpoints and Generative Conversational AI.",No,,,2007,,,Generative AI,"October 23, 2024 10:34 PM",,,,,09668910012,,,1,,,,SMEs Traction,MI,Lombardy,,,,,,,https://www.xcally.ai/,20037
Adaptronics,,VIA FILIPPO TURATI 40,MILANO,C4 - Climate / Green Energy / Food Tech,,adaptronics,,"Adaptronics is a company that specializes in the production of smart electroadhesive fingertips, designed to enhance the grasping capabilities of robots and automatic machines both on Earth and in Space. The company's products are aimed at improving versatility, effectiveness, and efficiency in industrial automation and Space operations. Adaptronics is currently engaged in five ongoing PoCs valued at over 300k€ with packing machine producers and has received more than 10 LOIs from potential industrial and Space customers. The company recently secured a pre-seed funding round of 685k€ and has grown to a team of 10.",Yes,,Camilla Conti,2022,Between 500k and 1M,,"Hardware & Robotics, Space Economy","February 20, 2026 8:32 PM",,http://www.linkedin.com/company/adaptronics,https://api.typeform.com/responses/files/14902b823b3e35507c64066d7ad5cf01aa2f32ea031afc522422fbbe454e4fdf/Adaptronics_Logo_Blu_RGB.png,DB%20Companies/ONE_PAGER_-_Adaptronics.docx.pdf,12394070960,Camilla Conti (https://www.notion.so/Camilla-Conti-03b75651240d43fabd58fac371bf2ceb?pvs=21),"Milano, Bologna",2-SF,https://api.typeform.com/responses/files/804a42529aecf1b59576528a5827611ca4f89f75d8fc6abc4d4382a7bf24ae40/AdapTronics___pitch_deck_v2_medQ.pdf,,,SMEs Traction,MI,Emilia-Romagna,,Camilla Conti,,,,,https://adaptronics.it,20121
AnteMotion,,VIA DELLA STAZIONE 27,TRENTO,C6 - Hardware & Robotics,,antemotion,,"AnteMotion is an Italian engineering startup that focuses on creating simulation tools. These tools are designed to aid in the virtual testing, training, and validation of Autonomous Vehicles (ADAS/AV). The company's expertise lies in the development of these specialized tools, positioning them as a key player in the autonomous vehicle industry. Their innovative solutions are aimed at enhancing the safety and efficiency of autonomous vehicles through rigorous virtual testing and validation processes.",No,,Luca Gasbarro,2018,Between 1M and 5M,,Hardware & Robotics,"November 12, 2024 9:01 PM",,http://www.linkedin.com/company/antemotion,https://api.typeform.com/responses/files/44bff4605aa27e77501288a53fb6c9162ad5f01f5c0d40a204b3aa482c33b493/AnteMotion_Logo_Contornato_White___40x171cm___white_bkground.png,DB%20Companies/ONE_PAGER_-_Antemotion.docx.pdf,02511430221,Luca Gasbarro (https://www.notion.so/Luca-Gasbarro-b0ed2f07403044a9bf0207d4d555e92c?pvs=21),Treviso,2-SF,https://api.typeform.com/responses/files/5d5974542b25d2cd63f860b4701275fc53eb39ccad6825105c40259d759d09a2/240208___Antemotion___Innovit___Sim_Tools_for_ADAS_AV_testing___validation.mov,,,SMEs Traction,TN,Trentino-South Tyrol,,Luca Gasbarro,http://www.linkedin.com/in/luca-gasbarro,23,,"€3,000,000.00",https://www.antemotion.com,38123
Evolvee,,VIA GRAMSCI 15,MOLINELLA,C6 - Hardware & Robotics,,evolvee,,"Conkreta Robotics, a brand under the start-up Evolvee Srl, is a pioneering entity in the Agritech industry. The company leverages artificial intelligence, collaborative robots, and vision systems to drive innovation in agricultural technology. Their advanced solutions aim to revolutionize traditional farming methods, enhancing efficiency and productivity.",No,,,2023,Between 0 and 500k,,Hardware & Robotics,"October 23, 2024 9:48 PM",,http://www.linkedin.com/company/conkreta-robotics,https://www.notion.soundefined,,04110491208,,,1,https://www.notion.soundefined,,,SMEs Traction,BO,Emilia-Romagna,,,,,,,https://conkretarobotics.com,40062
Park Smart,,CORSO ITALIA 298,CATANIA,C6 - Hardware & Robotics,,parksmart,,"Park Smart is a company that has created the Aisee Box, a hardware platform designed for computer vision. This innovative edge computing system allows for real-time video stream analysis using neural networks.",No,,,2014,<1M (undisclosed),,Hardware & Robotics,"October 23, 2024 10:22 PM",,http://www.linkedin.com/company/park-smart-srl,https://www.notion.soundefined,,05157870873,,,1,https://api.typeform.com/responses/files/52d261254e3391f628119be41ff61c913cafd796c91827c82ed4ec3e3a43f5ff/Park_Smart_pitch_2024.pdf,,,SMEs Traction,CT,Sicily,,,,,,,https://www.parksmart.it,95129
INTA,,VIA AUGUSTO RIGHI 20,PISA,RT-1,,inta,,"INTA is a medtech company specializing in the development of portable biosensing systems for quick biological detection, with a primary focus on diagnosing Traumatic Brain Injuries. The aim is to reduce the need for unnecessary CT scans. The company's product, designed for healthcare providers and emergency units, stands out for its portability, speed, and cost-effectiveness. INTA's revenue is generated through the sales of its reusable readers and disposable cartridges. The company is currently witnessing increased adoption of its product in emergency care settings.",No,,Alessandro Scatà,2020,Between 1M and 5M,,"Biomedical, Hardware & Robotics","October 23, 2024 10:01 PM",,http://www.linkedin.com/company/intasystems,https://www.notion.soundefined,,02369350505,Alessandro Scatà (https://www.notion.so/Alessandro-Scat-f0edc65b294c48f58ef2dd9dbc4369ed?pvs=21),,2-SF,https://api.typeform.com/responses/files/19aaf086f62411c463ccdcf1f5035fa1ab9766c0862113eab46eda0fc3ed59c7/INTA_Deck_2024.pdf,,,Regione Toscana,PI,Tuscany,,Alessandro Scatà,,,,,intasystems.net/en,56121
